author,polarity
yesiamjakeg,0
OGGodKing,0
blacindo,-0.4
ronman201,-0.1666666667
hateuncndtional,0
evans_tbo,0
nex5556,-0.2125
wusyanaame,0
ReganMacarthur,0
raquelaberakiki,0.1333333333
IAmTrueDespair,0
Maney_blaze,0
ronman201,0.01666666667
richfortune1995,0
selegforlife,-0.1
edimexico2016,0
MaximoHalty,0
elclass_king,0.5
HritikP45169299,-0.2333333333
FreeNotWoke,0.5
mctier_tom,0
DrRafiqRaji,0
Monserr30446026,0
PCS_Scotland,0.8
SpfanartETH,0
nss_shananigans,-0.1
kerrasndey,0
Jefe_says,0
HoneyDip_N,-0.4
ZKDID_,0.06666666667
dalydes,0
jackson_mbaya,0.03611111111
estebandido969,0.03125
KungFu_Charlie,0
Gaylorlarry,0.03333333333
wonderlandswoo,0.0875
MaryWebb7,0.0380952381
raiyashu2004,-0.1666666667
haqim_khairul,0
kaleymoonlight,0
Lemon18194378,-0.125
ikeboa95,0
MaryWebb7,0.05595238095
stevie_rf,0.7
Moes89901076,0.3571428571
citizenkwadwo1,0.325
_Dalston_,0
brunettesrgreat,0.35
Miwosis,0
SeanMiller_02,0
lavetteSteele1,-0.5625
ded_ruckus,0.1
DianaPickard4,-0.1
RoninOttoNames,0
v_diddyyy,0
aespaluvv,0
jpjanson,0.1
chxhxlsxxb,0
GaryCottier,0.5
Jane59501255,0
JoeJay58639086,0.4
Ryan08233118,0
ChrisHa60144811,-0.071875
BonnickMark,-0.2666666667
SusanUs42932351,-0.3
WSRaefrmdaville,0
SportsD62232629,0.2272727273
zee_sweatt,-0.4
softwarnet,-0.2111111111
CRASHiFLy,0.6444444444
Anna72015377,-0.02013888889
minatotakis,0
ASG43NG1,0.06666666667
snitnselamn,0
muglerina,0
Zicko24699456,0
iyabofaks_7,0.07222222222
Eddiemammy101,0
My_Kwannie,-0.1541666667
mmmghei,-0.625
myownnsummr,-0.2785714286
neoWaffle9,0
powyme0wy,0.02878787879
LURCH____,-0.009583333333
dojasbreauxxx,0
hyzalii,0.25
eyebrow_hoe,-0.4
qtrcirclejab,0.2
tesfayecunt,0
proverbialcat,0
Mach1___,-0.7
KicknPineapples,0
shzyne,0
vanweezer,0
DanielAkpegi,-0.125
ATMPresident,0
cherrystale,0
Bibirona01,0
Itzbobby8,0
sagan_fan01,0.4
RogerHaus,0.1333333333
yuunnnieee,-0.01333333333
YourFriendTemka,0
D616913046,0
real22talk,-0.7
nomad_blcksheep,0
lovserafim,0
ceecee131313,0.1958333333
ahcjjones,0
thundrclapntatz,0
adamwilson301,0
AbbasKt83,0.6
minatotakis,0
dim_giggs,0
byrd_worm,0
ohlvjoy,0
yaakub_ahmad02,-0.1666666667
stu_lyle93,0
stfudnc_,0
asha_rolls,0
ohmousieeeee,-0.01666666667
YunielAlfo96724,-0.2083333333
Jaymills48,0
JuanRobles24,0
waamy10,0.16
dedeeasdfgh,-0.1
AceGamezz21,0
grantstuartuk,0
YaboyChris2408,0
Twomato1,0
w01734228,0
Maby106,0.02951388889
kodocookies,0.16
DeanKirkham11,0
YunielAlfo96724,-0.2083333333
LestilFab,0
beeedsons,0
dqnfchidori,0
snnowwyy,0
EliorEsq,0
SandraDunn1955,0.8
felicitylixie,0
VoodooArmyMom,0.1
faaatblockaaa,0
catspaghet,0.5133333333
vainchat,0.2857142857
ieatlightning96,0
SizweDhlomo,0
amith_joshy,1
ChaoticBlades,0
RealShi48692487,0
theleakerbot,0
grrls_sxy_shoes,0
BasedOmelette,0
CartasPokemon,0.3
lacabraav,0
redpilledaspie,0
GOONBOSS2,0
nuts2406,0
desmusic714,0
pj09libra,-0.4
taeoct6,0
YunielAlfo96724,-0.2083333333
ClipClipClip19,-0.05361111111
PulpScentAsh,0
ActToChange,0.575
CUTEST_CRIMINAL,0
LLLwry,0.4222222222
ds37alwaysred,0.475
Ryankeyon,0
yukaromis,0.6
iwearvans01,0
fatwannur,0
_csenti,0
satslwyr,0.25
Straw_dool,0.06527777778
DelennMoresby,0.075
GamestopDividen,-0.2111111111
MarkridleyTPI,0
Buhle_RSA,0
srpitee,0
d_embers,0.5
Jwillfrmmid_,-0.4
DemsKeys,0
dwe_127,0
chipjammer,0
taekookyg,-0.4
puella_tanuki,1
chrissy_crown,0.2053571429
tnicols6901,0
deathxViraj,0
Madush,-0.07142857143
Elliot_tau948,0
nyc1349,0.2333333333
RachuriRamana,0
Bdogswishy1421,0
davidgclohessy,0.4222222222
s_wenglowsky,-0.08333333333
te56957551,0
ayshamoolla,0
BigBarbVibes,-0.1300925926
DebbarmaParag,0
mausal_ibrahim,0
theOutHouseNews,0
Priscilla__o,0
olynnaja,-0.2
HbKusoneko,1
j1aras,0
Reborn99347706,-0.075
1stKasumba,-0.1666666667
getlikethree,0
DA__writes,-0.1333333333
EldenTraveler,0
ProudFa45,0.6
AlRe3N0,0
YunielAlfo96724,-0.2083333333
Alad_karofi,-0.1666666667
Freeman53559348,0
tpratyush18,0
06thson,-0.5
suzsoms,-0.6
VoodooArmyMom,0.05208333333
mohmand_313,-0.125
1996xjpg,-0.4
tmlembcke,0
robgottti,0
issajaaaz,-0.4
OllivanderG,-1
yesitsfaithh,-0.1
SANDW0RM_,0
its1899,0
quirkybroke,0
balirano,0.4666666667
Geralld_95,0
prejiu,0
YunielAlfo96724,-0.2083333333
BDH_1995,0
DonChristopher_,0
Danielito_1123,0
Shatter1939,1
in_mendo51,0
bangpink4eva,0.1071428571
THEEHOTTIEEEE,-0.4
DrHerculePoirot,-0.1666666667
peacetrain65_22,0.08484848485
davidjvickery,0
GerryRitzxMP,0.4333333333
beef_lover17,0
BillAll29356736,0
n13678281,0
halalwisdom,-0.1666666667
NewSalvage,0.1
minomazz,-0.1666666667
ThisNigga_Nelv,0
ReignOfVirat,0
lissa2_me,-0.4
franley12,0
nucittaaa,0
PKBitchGirl,-0.1296296296
JamesQuinteroTX,0.08484848485
RitaOraUSA,0
LarryCa64573058,0
annmorris16,0.08484848485
aleahj123,0.3
FlingFlungDot_1,0.175
sanjay23tweets,0
iam__marxxiii,0
k1dkrowmp3,-0.205
MarkGoldfeder,0
BigDaddyZ_4,0
budgenkingsy,0
DelTzy7,0
Mikiebbadd0013,0.08484848485
pawankalwani,0
nanxfluids,-0.5666666667
twitsnoop_,0
ceci550025875,0
MinModulation,1
KillFakeFriends,-0.4
tpratyush18,0.5
_spicyboyy,0
MarkGoldfeder,0.3166666667
readafterwork,0
Homufeet,0
GUY7099,0
Iuv2yng,-0.4
heyitsK8lyn,0.075
MKPabl0,0
adamhommey,-0.185
Dfitch1990,0
DrHerculePoirot,0.003571428571
RepChipRoy,0.08484848485
timthsc,0.08484848485
MargaretDyke2,0
NateOnTheHill,0.08484848485
_gemaflores,0
jessnevins,0
MarkGoldfeder,0
MavericTV,0
dolosi_ya,0
YunielAlfo96724,-0.2083333333
DonOfThe323,0
bringthenct,0
ThomasMcRae2,0
abet03,0.5166666667
savvasthekiller,0
ghostwas_found,-0.05
NotYaCuppaTea,-0.3
rosesaustx,0
Daily41436676,0
marin82273729,0.075
_rhi77,-0.0125
VicVanderwaaal,0
FeruzaRedBunny,-0.1
gookiesnncream,0
asia_too_sweet,0
Squijibo,0.04444444444
vhill86,0
lopingjohhny,-0.4
SirKodili,0
chrisdysonHT,1
ladyIife,0
iconic_sheyi,0
_iamcarlos__,0
bellamchadwick,-0.1
Anais_Frenchy,0.25
rolp,0.5
realschyzzles,0.08174603175
alexandrhett,0.3
ZackFord,0
RayFlair3,0
Notsickyea,0
Jamena02,0
Shinzai100,-0.4
bkfine25,-0.8
YHU95_,0
ovodaddy9,0
TatokGod,0.25
Princess_Spain,0
Clayton_Ross_,0
Daddiesnack,0.125
Dyllanyoung32,0
DonnyLuche,0
YunielAlfo96724,-0.2083333333
Positiv95135356,0
DrTeePhD,0
WaitingXiumin,-0.3583333333
hha_tre,-0.05208333333
gookiesnncream,-0.5
Suryanshkumar64,0
Rio_RicoTx,0
PCSRCTelford,0.8
wisestreligion,-0.02222222222
Infilament,0.5166666667
lbastura,0.5
vanillacreamm_,0
McwaxFreeman,0
PaulieCriesAlot,0
KarlMGriffiths,0
barristerlawusa,0
blissliss_,0
aespaleavesm,0
Aubreyyjaayy,-0.4
krncunty,0
tungusk_,0
Ndatilan3,0.575
LilPisso,0
lologalore,-0.4
Dewey2000,0.0375
Andrew2Infinity,0
biccapital,0
0hthts3rica,0
lifesoversatile,0
Red____X,0
ririk604,0.8
ZachyLucas,-0.04583333333
blknpnk_,0
IndianBavarian,0.35
IrisBarryAllen,-0.1
sullyoonveada,0
empireenjoyer10,0
shelbyfemmer,0
YunielAlfo96724,-0.2083333333
GamingMasterra2,0.1
mfundocj,0
ederval92,0
ChrisMa36584754,0
ranzigor,0
annalise_prieto,0.1333333333
Mrtonywriter,0
MarinersFemmer,-0.3833333333
Yswer69,1
WarlockCanadian,0.00E+00
__Bint__e__adam,-0.1875
BokangVinger,0
PCSHOMerseyside,0.8
lilgit,0
Gitonga_Charlie,0
aesuky,0
dacalations,-0.4
AndyRican8,0
Luvsinner1,-0.4
QcNodding,0
asoachi_,0
SuperStevoo_,0
BigApeGreen,0
selanari_minaj,-0.1
SageWukong,0.1666666667
myrs_28,0.2
gyeoulae,-0.0375
Perishing_Breed,0
daikhood,0
Mpumie67426758,0
pomeloris,-0.1166666667
nokingsforme,0
allis_grimm,-0.5
dgafbam,0
ninghve,0
F__CKTHETORIES,0.1
jjocellllyn,-0.4
timtheluddite,0.8
LUVSUGAZ,0
joseh_alvarado,0
bbyskyline,-0.5
ChrisGr77562070,0
BenMCowles1,0.1416666667
pcs_union,-0.06666666667
JohnDingIe,0.1
barristerlawusa,0
OluwayomiJohn,0
gusspeaks,-0.5
Yo68621629,0
ProfSerbal12,0.25
AndyFontakk,0
EPrinceWilliams,0
OxladeChi,0
TailorPat,0.02666666667
eric_max_123,0.1
nickamankwah,0.5
Fuch5ia,-0.275
verosayz,0
Janusvh,0
TheBdNvestments,-0.5
OwningTheMAGAts,0.4
Sahra1236,-0.2111111111
EqtNet,0
3rdcoastsportTv,0
King_Goose02,0.2
Valkiri54465478,0
Mike43252768,-0.2
JStarunit,0
deenmui,0.4333333333
lexlovesmilfs,0
ciabaudo,0
JayBienvenu,-0.2071428571
kale_kasee,0
Weeeeekz,0
Ajias567,0
BloodyRain111,0
holdmyyadom,0
Casperriiee,0
YunielAlfo96724,-0.2083333333
O_igggy,0
barbieunchae,0
hanninootnoot,0
donnam67563159,-0.15
LNemporium72,-0.4
WhoseBacon,0.2010416667
vanillacreamm_,0.25
EuanTheOne_,0
princeXdottore,0
Sazhk3,0
FragenSteller62,-0.07916666667
texas_forever96,0
jenayaa97,-0.4
GuardiaNN_YT,0.0625
mariayterry,0
TheOwlMansReal,0
accollins256,0
ngcobols1,0
LuDaSavagee_,0.4125
findyourbalanc,0
JoeMechanic3,-0.06607142857
ghostpappi,0
DrTinarae,0
amusementgfx,0
sxhzyjq,0
RVRBOY23,0
WeGotBourbon,0.38
Mandon_83,0
ETA_HUB,0.4
snnowwyy,0.25
dcp_1122,0
therealnovaarts,0
richardsalasjr,0
whubcbfw,0
MuntariHaruna3,0
asir_04,0
spcebeats,0
zirylakelitsos,0
YariGoreeeee,-0.4
newface_in_hell,0
cwithmymind,-0.2
RatonaPutonna,0
luz_out54531,0.4166666667
WellsWellskm,0
BrendanOMalley6,0.1
joao_carvalho06,0
pjk_software,0.7
ShirotaniArt,0
ChasinnCommas__,0
korillss,0
thefemaleyee,0.3
lunathetunatic,0
zselinsucu,0
_youdidthis,0.4166666667
Kevv__1,0
jmnslcver,-0.6
byultzy,0
mloveslit,0.2416666667
danielskiis,-0.0875
ElHabib2011,0.2023809524
siirgabe,0
Andrew_SFE,-0.125
scooby_tooraw,0
8DTzwKSsKMmEwNV,0.25
TheFirm607,0
PhilipMason5,0
kempen_matthew,0.2
CapnYesterday,0
MicheleFank,0
Nessa_Smackable,0
